3,Westminster A,https://docs.google.com/document/d/12qJWIjZOBSQiqTYOgU-CYQOdRkfGk351ewRtBfdTVB0/edit?usp=drivesdk,OTG Global session notes : Session 3 : 1.30pm in Westminster A
3,Westminster B,https://goo.gl/NqZ2EF,OTG Global session notes : Session 3 : 1.30pm in Westminster B
3,Moore,https://docs.google.com/document/d/1BZBx0WCYW_k9iyVvJ6td-T8nbKOdgIHx67Cd3m69yU8/edit?usp=drivesdk,OTG Global session notes : Session 3 : 1.30pm in Moore
3,Abbey,https://docs.google.com/document/d/18AI-3LUbgSdrn5z0xJ2_9KX2d95VA9sKPKYSzvlIb5o/edit?usp=drivesdk,OTG Global session notes : Session 3 : 1.30pm in Abbey
3,Rutherford,https://docs.google.com/document/d/1CiK7N6t3_dmLEJShStF8UZkbqfPmtelxZx4xwzjxNy0/edit?usp=drivesdk,OTG Global session notes : Session 3 : 1.30pm in Rutherford
3,Wordsworth,https://docs.google.com/document/d/130PfOepQF-iAXgmdspLX-XSOdjYzCkk2l4JDJFq2DSA/edit?usp=drivesdk,OTG Global session notes : Session 3 : 1.30pm in Wordsworth
3,Shelley,https://docs.google.com/document/d/1lRwMj3nX9_zob-k8IaTn5gY4uTX3h_1AyZBrTSE7A-o/edit?usp=drivesdk,OTG Global session notes : Session 3 : 1.30pm in Shelley
3,Wesley,https://docs.google.com/document/d/1plKw-L4H4d70Y67H9-_DQKU0Aed0TuI1R-DgF29yFNQ/edit?usp=drivesdk,OTG Global session notes : Session 3 : 1.30pm in Wesley
3,Burns,https://docs.google.com/document/d/1P_CbMUjQC5tR4bPCtHBTxdKGeKmN_GDwIqwpqnB4D68/edit?usp=drivesdk,OTG Global session notes : Session 3 : 1.30pm in Burns
3,Keats,https://docs.google.com/document/d/1yxVPsG0MFNTywLvEIGhDV70wxtBW2X7mj9eWnuLc9V0/edit?usp=drivesdk,OTG Global session notes : Session 3 : 1.30pm in Keats
